Time(ms),TPS,AFR
104062,1006,910
104112,1006,910
104162,1006,909
104212,1006,908
104262,1006,906
104312,1006,905
104363,1006,904
104413,1006,904
104463,1006,903
104513,1006,898
104563,1006,902
104613,1006,896
104663,1006,897
104713,1006,897
104763,1006,900
104813,1006,901
104863,1006,904
104913,1006,903
104963,1006,901
105013,1006,906
105063,1006,906
105113,1006,905
105163,1006,903
105213,1006,901
105263,1006,901
105313,1006,898
105363,1006,897
105413,1006,896
105463,1006,896
105513,1006,896
105563,1006,894
105613,1006,893
105663,1006,892
105713,1006,890
105763,1006,889
105814,1006,888
105864,1006,886
105914,1006,886
105964,1006,885
106014,1006,884
106064,1006,886
106114,1006,877
106164,1006,875
106214,1006,874
106264,1006,870
106314,1006,866
106364,1006,863
106414,1006,859
106464,1007,855
106514,1007,852
106564,1006,863
106614,1006,869
106664,1006,862
106714,1006,862
106764,1006,861
106814,1006,861
106864,1006,916
106914,1006,914
106964,1006,911
107014,1006,908
107064,1006,911
107114,1006,912
107164,1006,910
107214,1006,912
107264,1006,912
107314,1006,909
107364,1006,904
107414,1006,908
107464,1006,907
107514,1006,904
107564,1006,907
107614,1006,911
107664,1006,909
107714,1006,903
107764,1006,903
107814,1006,904
107864,1006,905
107914,1006,906
107964,1006,905
108014,1006,899
108064,1006,905
108114,1006,907
108164,1006,903
108214,1006,909
108264,1006,910
108314,1006,913
108364,1006,911
108414,1006,909
108464,1006,910
108514,1006,907
108564,1006,909
108614,1006,907
108664,1006,910
108715,1006,911
108765,1006,918
108815,1006,918
108865,1006,916
108915,1006,915
